	CouponNumber,	CouponUID
	0300809,	0300809
	0300810,	0300810
	0300811,	0300811
	0300812,	0300812
	0300813,	0300813
	0300814,	0300814
	0300815,	0300815
	0300816,	0300816
	0300817,	0300817
	0300818,	0300818
	0300819,	0300819
	0300820,	0300820
	0300821,	0300821
	0300822,	0300822
	0300823,	0300823
	0300824,	0300824
	0300825,	0300825
	0300826,	0300826
	0300827,	0300827
	0300828,	0300828
	0300829,	0300829
	0300830,	0300830
	0300831,	0300831
	0300832,	0300832
	0300833,	0300833
	0300834,	0300834
	0300835,	0300835
	0300836,	0300836
	0300837,	0300837
	0300838,	0300838
	0300839,	0300839
	0300840,	0300840
	0300841,	0300841
	0300842,	0300842
	0300843,	0300843
	0300844,	0300844
	0300845,	0300845
	0300846,	0300846
	0300847,	0300847
	0300848,	0300848
	0300849,	0300849
	0300850,	0300850
	0300851,	0300851
	0300852,	0300852
	0300853,	0300853
	0300854,	0300854
	0300855,	0300855
	0300856,	0300856
	0300857,	0300857
	0300858,	0300858
	0300859,	0300859
	0300860,	0300860
	0300861,	0300861
	0300862,	0300862
	0300863,	0300863
	0300864,	0300864
	0300865,	0300865
	0300866,	0300866
	0300867,	0300867
	0300868,	0300868
	0300869,	0300869
	0300870,	0300870
	0300871,	0300871
	0300872,	0300872
	0300873,	0300873
	0300874,	0300874
	0300875,	0300875
	0300876,	0300876
	0300877,	0300877
	0300878,	0300878
	0300879,	0300879
	0300880,	0300880
	0300881,	0300881
	0300882,	0300882
	0300883,	0300883
	0300884,	0300884
	0300885,	0300885
	0300886,	0300886
	0300887,	0300887
	0300888,	0300888
	0300889,	0300889
	0300890,	0300890
	0300891,	0300891
	0300892,	0300892
	0300893,	0300893
	0300894,	0300894
	0300895,	0300895
	0300896,	0300896
	0300897,	0300897
	0300898,	0300898
	0300899,	0300899
	0300900,	0300900
	0300901,	0300901
	0300902,	0300902
	0300903,	0300903
	0300904,	0300904
	0300905,	0300905
	0300906,	0300906
	0300907,	0300907
	0300908,	0300908
	0300909,	0300909
	0300910,	0300910
	0300911,	0300911
	0300912,	0300912
	0300913,	0300913
	0300914,	0300914
	0300915,	0300915
	0300916,	0300916
	0300917,	0300917
	0300918,	0300918
	0300919,	0300919
	0300920,	0300920
	0300921,	0300921
	0300922,	0300922
	0300923,	0300923
	0300924,	0300924
	0300925,	0300925
	0300926,	0300926
	0300927,	0300927
	0300928,	0300928
	0300929,	0300929
	0300930,	0300930
	0300931,	0300931
	0300932,	0300932
	0300933,	0300933
	0300934,	0300934
	0300935,	0300935
	0300936,	0300936
	0300937,	0300937
	0300938,	0300938
	0300939,	0300939
	0300940,	0300940
	0300941,	0300941
	0300942,	0300942
	0300943,	0300943
	0300944,	0300944
	0300945,	0300945
	0300946,	0300946
	0300947,	0300947
	0300948,	0300948
	0300949,	0300949
	0300950,	0300950
	0300951,	0300951
	0300952,	0300952
	0300953,	0300953
	0300954,	0300954
	0300955,	0300955
	0300956,	0300956
	0300957,	0300957
	0300958,	0300958
	0300959,	0300959
	0300960,	0300960
	0300961,	0300961
	0300962,	0300962
	0300963,	0300963
	0300964,	0300964
	0300965,	0300965
	0300966,	0300966
	0300967,	0300967
	0300968,	0300968
	0300969,	0300969
	0300970,	0300970
	0300971,	0300971
	0300972,	0300972
	0300973,	0300973
	0300974,	0300974
	0300975,	0300975
	0300976,	0300976
	0300977,	0300977
	0300978,	0300978
	0300979,	0300979
	0300980,	0300980
	0300981,	0300981
	0300982,	0300982
	0300983,	0300983
	0300984,	0300984
	0300985,	0300985
	0300986,	0300986
	0300987,	0300987
	0300988,	0300988
	0300989,	0300989
	0300990,	0300990
	0300991,	0300991
	0300992,	0300992
	0300993,	0300993
	0300994,	0300994
	0300995,	0300995
	0300996,	0300996
	0300997,	0300997
	0300998,	0300998
	0300999,	0300999
	0301000,	0301000
